code,prebr_4,prebr_9,prebr_14,prebr_19,prebr_24,prebr_29,prebr_34,prebr_39,prebr_44,prebr_49,prebr_54,prebr_59,prebr_64,prebr_69,prebr_74,prebr_79,prebr_84,prebr_85p
BLG42,834,768,815,1085,1155,1102,1087,998,1222,1227,1224,1031,773,699,647,420,247,110
BLG44,684,605,674,859,1004,960,879,882,1053,1092,1108,984,870,814,751,662,267,135
BLG49,260,247,220,310,318,269,286,323,387,334,328,326,405,501,488,415,227,134
BLG52,466,500,482,606,585,641,688,677,753,686,703,711,637,583,517,462,249,145
BLG53,571,477,542,614,831,811,786,752,708,824,844,758,654,509,383,338,222,107
DOB03,997,979,982,1087,1272,1225,1403,1464,1512,1449,1370,1574,1588,1221,820,703,438,233
DOB12,621,611,603,747,774,756,799,906,1011,984,998,1136,1370,1254,924,857,494,252
DOB15,1119,1116,1040,1189,1190,1169,1228,1390,1322,1300,1313,1494,1845,1800,1350,1163,694,359
DOB17,694,722,755,857,850,927,1023,1144,1109,1062,1067,1153,1190,965,749,563,346,182
DOB20,233,278,274,327,257,264,277,278,286,260,304,289,322,313,217,195,122,51
DOB27,884,901,866,1025,1048,1007,1084,1077,1170,1128,1089,1155,1107,943,624,563,358,149
DOB28,4141,3839,3934,4722,5573,5939,6346,7403,7325,6965,7018,7158,7022,5005,3381,2706,1682,871
DOB29,178,161,195,211,253,217,243,322,347,365,376,383,452,420,357,325,171,93
GAB05,2369,2287,2267,2789,3700,3570,4272,4568,4379,4378,4458,5126,6140,4626,3952,3256,1981,1150
GAB12,336,322,348,417,443,441,519,589,680,630,700,757,1018,805,571,527,341,241
GAB29,1416,1525,1546,1677,1756,1827,2231,2493,2337,2379,2327,2608,3032,2496,2047,2063,1345,890
GAB35,329,375,494,502,470,550,617,810,850,869,844,938,1121,947,751,695,392,200
HKV09,2079,1947,2007,2526,2799,3287,3438,3474,3359,3796,4412,4439,4142,3072,2940,3026,1961,853
HKV11,229,222,249,325,352,351,342,351,380,565,534,546,513,388,379,360,222,118
HKV17,524,495,535,497,516,556,645,713,634,618,707,687,724,582,591,627,382,181
HKV18,48,43,49,85,76,65,86,91,102,113,121,125,142,142,134,122,85,36
HKV19,237,221,250,323,359,385,394,387,402,431,406,421,389,396,357,274,160,107
HKV28,999,932,997,1181,1307,1465,1685,1670,1580,1701,1754,1632,1627,1247,1149,1043,686,349
HKV29,554,492,445,537,551,532,511,500,538,535,567,548,626,534,446,404,296,139
HKV30,264,266,262,345,351,381,413,403,386,398,388,380,394,374,375,268,178,108
HKV32,396,389,473,581,513,527,524,614,716,783,886,946,986,842,821,899,551,234
HKV33,1169,1108,1143,1365,1445,1443,1646,1772,1693,1624,1811,1798,1748,1356,1232,1297,823,474
HKV34,4567,4443,4377,4989,5143,6211,7233,7493,6695,6521,7066,6930,6634,4834,3927,3540,2381,1172
JAM03,158,171,152,193,183,182,163,220,191,262,289,321,313,266,371,390,240,95
JAM07,628,651,718,836,797,835,964,992,990,1185,1306,1367,1225,963,981,944,579,258
JAM22,735,746,657,672,660,663,662,654,682,747,789,843,1021,764,896,886,469,235
JAM25,937,884,932,942,1052,961,1071,1064,1123,1345,1445,1923,2387,2245,2133,2037,1160,514
JAM26,3646,3477,3593,4020,4390,4808,5324,5533,5402,5728,5760,5914,5388,3427,3021,2443,1519,739
KNL04,291,289,322,458,479,539,547,545,724,721,727,646,692,620,523,478,280,186
KNL05,72,64,61,116,146,105,107,143,158,171,183,227,265,250,296,241,166,99
KNL27,138,170,174,222,209,218,241,275,347,306,350,343,474,468,466,421,226,166
KNL29,2249,2436,2348,2786,2604,3318,4040,4417,4437,4312,4523,4830,5199,3963,3288,2949,1871,1111
KNL31,25,37,47,69,58,68,73,96,112,134,154,184,319,331,344,368,230,172
KNL38,90,88,77,115,111,142,150,176,190,198,214,228,272,241,231,177,104,84
KNL41,282,263,306,359,383,433,455,498,542,517,573,576,589,523,437,396,258,138
KNL48,1980,1878,1940,2069,2070,2757,3063,3189,3285,3234,3460,3572,3670,2754,2254,1957,1200,656
KNL50,12,4,12,13,13,12,31,21,26,20,38,48,82,72,70,64,49,42
KRZ02,426,415,396,586,632,785,863,641,747,891,1088,958,720,654,734,555,315,166
KRZ08,385,368,331,551,560,617,638,603,625,638,617,543,421,419,334,293,135,89
KRZ14,854,876,933,1343,1262,1397,1565,1511,1593,1528,1674,1749,1554,1310,1196,899,442,230
KRZ15,921,909,908,1050,1145,1195,1262,1195,1277,1302,1294,1177,1047,1015,890,696,345,195
KRZ16,3618,3273,3247,3891,4163,4891,5219,4931,4830,5002,5216,4713,4008,3278,2896,2281,1317,686
KRZ21,721,704,699,980,1086,1171,1268,1208,1200,1280,1233,1164,947,872,732,559,269,170
KRZ35,456,409,377,544,661,680,714,636,590,719,744,677,567,541,501,418,232,141
LOV02,79,81,112,98,113,153,164,182,216,223,248,266,287,281,264,256,189,126
LOV17,172,197,187,207,178,147,168,201,211,195,229,252,372,320,283,223,130,104
LOV18,1721,1862,2007,2254,2211,2380,2984,3561,3637,3496,3752,3894,4652,3363,2816,2578,1596,974
LOV19,1137,1162,983,1082,1027,999,1031,1094,1153,1024,1076,1170,1332,1094,978,937,537,309
LOV33,1009,989,1072,1185,1187,1221,1320,1384,1493,1566,1544,1462,1550,1309,1146,939,590,341
LOV34,1129,1147,1293,1377,1305,1551,1967,2400,2447,2282,2309,2362,2970,2209,2135,1823,1044,649
LOV36,297,332,310,307,277,251,325,321,323,307,380,397,577,496,513,513,330,249
LOV38,436,446,335,391,378,371,353,345,404,345,335,348,427,352,331,303,207,127
MON02,776,787,851,992,934,1011,1068,1221,1225,1222,1274,1353,1636,1323,1087,1065,610,368
MON04,411,375,407,567,463,389,390,493,517,460,522,602,856,731,674,698,460,257
MON07,172,197,201,254,241,202,225,258,282,288,317,342,464,425,426,426,225,133
MON11,399,490,561,496,466,450,528,574,545,508,515,625,874,725,666,683,486,309
MON12,416,384,449,562,435,395,364,467,531,488,515,503,652,559,534,462,312,175
MON14,38,71,58,148,93,63,76,97,117,161,164,214,317,269,271,299,193,122
MON24,1128,1175,1392,1566,1434,1389,1689,1955,1894,1880,1977,2122,2458,1785,1504,1337,899,555
MON26,153,147,168,179,152,146,176,187,192,215,223,275,365,310,364,384,246,147
MON29,2324,2299,2317,2707,2776,3303,3638,4141,4004,4037,4201,4265,4417,2906,2411,2147,1223,740
MON36,70,63,95,112,140,133,147,166,211,234,291,294,399,419,381,277,179,104
MON38,184,202,200,195,182,168,211,236,217,208,223,264,392,370,357,334,242,147
PAZ03,222,223,252,328,313,376,403,400,456,495,494,487,432,373,275,318,180,117
PAZ04,281,296,345,425,457,487,528,580,551,664,801,791,730,525,551,503,255,121
PAZ06,416,429,428,500,579,558,481,552,596,680,650,678,748,696,618,548,323,168
PAZ08,2098,2176,2283,2472,2569,2838,2806,2855,2992,3090,3084,2696,2504,1932,1657,1394,823,438
PAZ14,241,277,238,270,274,290,293,306,312,329,354,330,402,357,351,368,228,188
PAZ19,5736,5447,5376,6026,7112,7819,8340,8347,8343,8276,8818,7919,8257,6084,5029,4146,2430,1312
PAZ20,957,948,1069,1320,1387,1516,1434,1622,1894,2041,2060,1899,1908,1553,1499,1147,664,345
PAZ21,991,965,1022,1101,1172,1156,1308,1385,1334,1272,1494,1285,1373,960,791,670,403,217
PAZ24,875,893,860,1112,1092,1079,1050,1013,1174,1083,1073,890,873,638,540,429,263,127
PAZ29,1340,1254,1221,1554,1752,1713,1586,1638,1814,1919,1986,1671,1718,1417,1249,1071,587,304
PAZ32,182,160,196,229,260,246,268,292,335,367,353,331,420,346,358,312,151,107
PDV01,2760,2837,2874,3221,3835,4157,4684,4550,4559,4747,4765,4336,4379,3698,3137,2755,1708,1032
PDV07,279,263,265,333,333,271,347,361,423,349,429,460,640,661,651,602,393,238
PDV12,421,420,496,530,587,597,608,644,673,734,841,793,926,884,952,931,533,309
PDV13,2534,2432,2311,2680,2974,3194,3411,3608,3558,3680,3825,3674,3945,3178,2828,2289,1414,772
PDV15,68,77,93,138,156,163,163,192,248,239,265,239,259,185,173,124,72,48
PDV17,1678,1569,1511,1654,2071,2132,2343,2219,2091,2058,2239,2110,2372,1869,1654,1528,882,458
PDV22,16781,14605,13784,16631,24762,26136,28685,27081,24617,22828,24295,22859,22584,16085,13153,11375,7652,4240
PDV23,1033,940,1055,1340,1381,1417,1462,1678,1701,1579,1754,1749,2154,1785,1648,1666,980,561
PDV25,1383,1143,1178,1600,1925,1848,1738,1720,1802,1805,1904,1657,1765,1410,1383,1164,649,307
PDV26,1383,1182,1219,1524,1800,1950,2146,2188,2247,2280,2340,2280,2558,2066,2008,1793,1044,594
PDV28,798,807,761,842,947,962,1005,1012,1013,995,990,924,1012,957,949,882,483,265
PDV33,376,387,395,453,584,506,574,621,661,619,678,686,872,840,764,703,461,270
PDV37,382,405,420,482,559,612,661,718,782,758,907,864,1075,1041,1029,993,593,319
PDV39,444,534,449,480,559,568,583,560,603,568,599,544,524,409,381,324,183,97
PDV40,279,242,247,282,306,317,370,332,333,315,365,320,360,282,233,255,153,67
PDV41,1117,994,995,1154,1344,1423,1311,1455,1375,1272,1480,1401,1434,1147,1042,957,572,298
PDV42,315,233,296,337,394,470,385,411,447,477,438,435,451,410,371,310,162,89
PDV43,404,418,435,510,572,613,685,757,734,768,817,797,758,533,436,311,192,87
PER08,193,197,225,324,280,297,361,441,447,409,446,519,691,564,507,504,338,202
PER19,62,51,74,87,93,90,105,120,139,167,207,183,276,257,309,248,181,113
PER22,32,18,22,38,45,41,56,60,76,71,95,117,175,191,199,207,113,44
PER32,4233,3601,3746,4274,4614,6413,7367,7293,7067,7169,7903,7354,7452,5569,4672,4406,2682,1366
PER36,727,736,805,852,1037,1178,1217,1262,1459,1551,1579,1500,1741,1393,1407,1268,773,411
PER51,156,157,148,173,191,204,212,213,226,215,246,266,386,337,362,327,214,113
PVN03,348,341,367,426,557,659,772,767,734,715,830,767,816,615,556,538,332,178
PVN08,382,419,454,484,498,463,508,535,665,683,798,863,1138,1169,1085,1116,685,391
PVN10,775,865,886,1040,916,852,895,1091,1079,1060,1228,1301,1843,1758,1497,1432,999,547
PVN11,565,603,618,630,543,540,610,593,593,659,740,851,1062,935,781,680,412,255
PVN16,709,811,866,972,951,918,983,1111,1327,1344,1527,1482,1763,1584,1247,1220,744,379
PVN21,304,375,325,411,351,361,393,425,519,504,613,726,964,835,755,749,448,247
PVN23,283,322,319,342,338,310,380,359,361,386,460,512,619,529,489,437,265,173
PVN24,6113,5579,5623,6658,7259,7893,9085,10227,9801,9287,9733,9959,10815,7587,5676,4835,3180,1842
PVN27,241,277,269,340,299,248,258,308,365,339,383,427,588,516,510,542,319,197
PVN37,1226,1270,1320,1553,1504,1497,1523,1700,1763,1777,2166,2191,2346,1768,1539,1354,827,532
PVN39,598,616,675,828,733,688,767,850,864,906,954,940,1157,899,847,727,469,285
RAZ11,437,513,577,716,643,593,705,808,791,711,725,808,796,641,453,348,210,111
RAZ14,1078,1140,1208,1533,1314,1451,1538,1635,1710,1628,1573,1569,1577,1424,921,760,412,221
RAZ16,755,797,776,1042,975,1078,1065,1148,1187,1327,1402,1467,1503,1295,1047,821,443,227
RAZ17,418,450,476,640,546,624,593,691,685,727,643,658,632,521,387,284,185,105
RAZ26,2291,2257,2415,2877,2848,2954,3446,3809,4107,3918,3836,3870,3788,3069,2249,1777,1006,578
RAZ29,280,315,352,451,433,428,447,485,549,534,451,488,536,460,353,236,143,64
RAZ36,243,245,284,359,330,372,407,465,442,387,446,447,512,459,305,281,133,75
RSE03,198,211,254,311,304,234,283,355,318,362,416,445,552,560,452,432,264,150
RSE04,564,584,592,651,667,785,709,767,857,926,1009,1067,1169,992,754,737,426,211
RSE05,565,556,593,717,667,785,774,832,891,857,885,926,1020,842,567,516,316,141
RSE08,339,377,387,444,527,480,498,552,598,618,659,724,780,741,546,608,356,208
RSE13,246,283,266,315,401,413,415,427,532,553,618,696,1060,1003,786,777,394,244
RSE27,7218,6541,6506,8312,11409,11037,12050,13144,12248,11888,11769,12452,12934,9841,7432,6422,4228,2154
RSE33,453,433,460,544,611,555,635,718,698,680,749,835,858,798,646,637,370,175
RSE37,150,172,203,248,223,235,234,272,341,399,428,448,505,602,526,519,306,112
SFO06,347,361,365,384,352,505,634,722,638,570,574,536,695,490,458,427,253,162
SFO07,1674,1519,1595,1748,1831,2173,2366,2348,2435,2378,2434,2468,2646,1853,1480,1145,663,419
SFO09,166,171,216,217,248,259,286,362,377,376,321,393,469,423,404,312,222,153
SFO10,249,224,251,253,316,351,339,388,399,398,444,440,489,440,422,404,264,138
SFO16,167,147,192,217,208,263,290,365,320,332,377,405,484,380,420,373,271,151
SFO17,1068,1037,944,983,1225,1417,1694,1707,1578,1588,1665,1551,1744,1281,1199,1126,664,370
SFO18,476,508,567,681,660,687,721,773,958,944,921,827,957,718,595,567,311,176
SFO20,1081,1121,1027,1083,1077,1189,1205,1261,1223,1180,1126,1172,1166,922,703,568,399,217
SFO24,90,94,109,125,123,134,127,180,161,156,193,187,205,157,136,119,64,50
SFO25,470,503,549,657,640,774,843,950,973,942,1025,996,1019,716,641,592,355,148
SFO26,732,725,797,822,935,1113,1317,1327,1403,1204,1215,1241,1401,1091,946,785,503,289
SFO34,435,410,409,460,459,500,456,423,442,536,563,538,540,415,347,321,182,133
SFO39,1793,1770,1904,1856,1958,2292,2657,2810,2588,2519,2616,2756,2988,2082,1884,1780,1185,651
SFO43,743,643,954,1116,1049,1218,1344,1645,1679,1620,1641,1625,1801,1543,1479,1211,706,346
SFO45,365,379,345,448,498,617,602,729,675,718,747,706,755,520,571,518,355,133
SFO47,285,238,308,308,368,307,345,412,474,459,415,403,438,334,270,226,153,94
SFO54,80,82,83,77,80,65,106,104,114,114,106,129,117,106,76,86,48,26
SFO55,341,340,396,439,452,523,546,565,649,673,625,519,550,484,445,395,233,118
SFO56,87,83,88,107,116,134,126,137,141,158,180,152,229,175,213,195,135,84
SFO57,56,54,60,57,75,62,82,91,79,90,71,81,105,79,73,72,49,36
SFO58,69,74,68,68,70,92,105,93,122,100,114,96,89,92,93,57,42,29
SFO59,292,237,244,301,295,293,325,321,351,298,320,264,297,198,184,151,94,57
SHU07,364,360,380,473,494,445,488,494,529,521,485,474,508,428,320,194,122,58
SHU10,622,610,601,656,669,735,791,747,743,682,760,665,606,562,398,308,153,83
SHU11,222,236,257,331,333,334,337,384,398,464,418,437,568,478,417,342,175,92
SHU18,666,721,723,891,823,803,884,948,897,883,756,735,731,668,430,293,168,73
SHU19,362,441,421,456,468,453,474,518,509,541,535,547,621,498,399,384,214,135
SHU21,403,426,365,437,427,406,410,391,375,387,398,401,382,313,238,187,98,56
SHU22,766,876,878,990,1011,1015,1056,1253,1196,1134,1181,1115,1294,1050,777,679,390,218
SHU23,572,576,612,744,786,705,783,925,933,872,934,976,1121,908,715,624,402,194
SHU25,285,291,265,336,355,341,359,380,411,434,480,478,573,509,434,391,246,130
SHU30,4181,3860,3941,5145,6555,6371,6800,7364,6869,6551,6882,6480,6749,5044,3992,3565,2150,1150
SLS01,106,110,124,107,133,127,127,165,202,207,183,235,284,314,267,199,94,52
SLS07,441,518,514,637,573,612,575,702,769,828,758,752,862,870,665,440,277,137
SLS10,1542,1479,1476,1641,1777,1926,1912,1997,2074,1999,1919,1929,2015,1861,1197,851,458,229
SLS15,454,403,325,384,384,337,318,326,364,295,262,243,259,280,173,131,88,44
SLS31,1903,1834,1930,2524,2838,2730,3076,3632,3795,4058,3987,4269,4521,3834,2557,2078,1193,627
SLS32,200,250,260,286,242,273,289,332,388,349,319,389,452,463,409,250,172,73
SLS34,595,588,641,859,730,755,808,1001,1120,1075,1116,1206,1399,1328,910,687,382,174
SLV11,1098,1130,1123,1219,1269,1272,1315,1333,1304,1308,1300,1306,1291,1088,818,663,368,186
SLV16,2147,2262,2267,2283,2308,2373,2469,2282,2276,2616,2761,2751,2714,2100,1980,1755,1100,566
SLV20,7466,7106,6617,7166,7547,8013,8648,8949,8280,8610,8653,8974,8908,6127,5547,4588,2710,1359
SLV24,973,972,847,943,859,867,867,855,795,854,861,903,871,704,619,539,300,175
SML02,97,116,155,175,210,203,223,239,335,382,463,479,447,400,394,335,178,92
SML05,111,123,161,214,217,215,204,243,293,324,366,321,224,174,174,141,85,51
SML09,493,474,474,653,703,790,830,861,909,1055,1230,1081,990,740,688,492,348,202
SML10,404,350,419,507,640,659,649,566,764,846,824,660,548,426,370,247,161,76
SML11,464,411,522,602,688,753,795,872,931,1115,1119,1082,1000,740,544,381,197,105
SML16,524,503,484,619,760,786,887,800,992,990,1116,1078,907,619,518,394,212,87
SML18,300,287,331,364,434,446,469,490,480,594,713,653,520,390,329,257,99,65
SML27,471,447,455,562,569,667,757,680,772,808,915,795,653,497,465,303,172,81
SML31,1744,1571,1598,1984,2443,2840,2940,2870,2937,3122,3526,3360,3182,2258,1950,1477,1001,649
SML38,263,258,294,312,402,461,511,495,498,556,660,621,639,447,466,393,274,170
SOF46,62502,50147,46591,61170,118844,106900,115511,109012,89729,77492,81043,85868,85154,60561,47295,42054,31374,20344
SZR04,398,341,406,392,434,430,469,410,403,414,504,537,661,653,692,754,477,302
SZR07,569,536,584,664,668,789,852,883,846,887,974,945,1020,895,821,747,449,265
SZR12,3336,3161,3157,3460,3886,4309,5057,5341,5122,4961,5421,5794,6036,4065,3450,3106,1914,1005
SZR22,581,625,571,513,565,559,584,610,531,528,586,682,814,673,645,583,339,191
SZR23,74,99,70,73,68,90,104,99,90,116,164,229,328,337,357,350,207,95
SZR24,771,755,708,853,836,827,889,909,910,835,896,975,1010,876,823,641,417,255
SZR27,845,844,933,999,1070,1123,1358,1443,1391,1426,1504,1522,1453,1185,1168,968,598,249
SZR31,7353,6718,6858,7943,9648,11042,12256,12515,11705,11394,11760,11948,11797,8259,7101,6025,3854,1932
SZR36,998,1040,1007,1075,1101,1116,1232,1387,1372,1323,1346,1455,1747,1526,1398,1288,774,452
SZR37,305,330,288,326,361,320,357,333,295,306,343,327,329,281,226,202,131,67
SZR38,354,384,287,268,268,273,233,238,208,252,231,219,294,222,225,199,123,68
TGV02,306,291,314,409,394,368,402,411,436,423,442,431,429,401,296,236,162,111
TGV22,1064,1102,1120,1389,1361,1430,1510,1520,1496,1585,1547,1553,1446,1287,1037,783,411,212
TGV23,291,294,284,419,424,447,429,455,455,474,455,511,466,360,334,298,175,93
TGV24,1152,1272,1264,1541,1411,1469,1757,2021,1989,2036,1996,2145,2386,1890,1568,1497,877,504
TGV35,2714,2784,2870,3388,3252,3541,3877,4185,4244,4155,4067,4077,4254,3335,2603,2098,1140,680
VAR01,530,434,405,463,460,476,510,509,484,507,488,589,712,657,486,441,274,149
VAR02,1167,1099,1085,1069,1269,1328,1470,1492,1362,1267,1286,1345,1442,1244,989,761,463,288
VAR04,557,527,523,673,694,733,823,863,844,784,764,686,716,587,508,446,204,91
VAR05,179,150,126,160,216,221,167,213,211,212,225,244,243,178,159,162,122,54
VAR06,18226,14555,13875,16093,26127,28390,31151,30514,24897,22143,21920,23091,22577,16500,12573,10637,6815,3620
VAR08,173,168,189,257,243,224,241,296,313,310,380,418,560,495,435,384,215,114
VAR09,397,453,494,510,491,493,492,581,561,605,735,721,743,762,681,719,408,206
VAR13,1263,1203,1118,1231,1384,1346,1265,1306,1309,1275,1284,1231,1208,917,787,667,387,179
VAR14,470,486,447,530,582,627,595,658,575,581,591,569,583,435,398,326,186,91
VAR16,783,742,717,847,854,950,946,944,993,932,966,1022,972,843,720,620,361,177
VAR24,1123,1227,1210,1330,1306,1325,1432,1532,1413,1542,1570,1576,1660,1323,1140,1108,729,388
VAR26,404,373,385,398,385,439,417,486,480,426,452,482,556,466,406,324,208,138
VID01,287,298,281,334,301,325,410,408,379,450,452,529,582,477,350,343,243,153
VID03,15,12,18,18,20,20,28,34,39,56,80,105,172,184,175,138,153,74
VID06,138,187,171,203,229,243,265,310,288,291,367,407,561,516,424,420,315,179
VID09,2437,2651,2859,3248,2857,3304,4027,4890,4714,4181,4251,4962,6011,4171,3126,2748,1812,1008
VID15,59,51,60,55,55,74,69,70,75,97,98,147,282,231,191,167,119,107
VID16,323,315,257,304,327,262,307,304,360,335,361,427,568,515,493,476,354,226
VID22,129,145,160,204,166,165,215,284,291,276,249,327,485,454,381,374,255,157
VID25,29,38,26,37,31,45,43,65,81,65,78,124,183,202,201,173,141,68
VID30,61,102,93,88,104,82,132,111,127,139,151,219,327,342,301,285,198,117
VID33,212,199,164,205,224,186,190,210,231,214,257,303,383,316,348,363,239,130
VID37,98,81,49,77,86,75,73,85,99,137,119,139,187,165,169,212,156,76
VRC05,292,343,302,336,269,242,266,325,318,283,309,384,532,439,372,346,227,129
VRC08,1218,1289,1251,1404,1275,1333,1415,1561,1588,1539,1651,1683,2080,1561,1312,1211,756,479
VRC10,3089,3113,3431,3868,3796,4502,5245,5850,5786,5409,5588,5760,6033,4180,3093,2638,1656,857
VRC20,994,1089,1291,1275,1186,1224,1437,1689,1958,1774,1563,1422,1254,863,672,680,523,286
VRC21,380,351,391,397,403,381,411,428,459,453,539,589,866,886,810,851,489,306
VRC27,806,787,924,1258,1086,1115,1232,1509,1614,1442,1590,1633,1835,1437,1228,1161,682,409
VRC28,273,296,368,374,363,311,436,473,525,502,511,531,690,584,446,427,295,165
VRC31,427,515,514,580,515,483,613,659,718,678,726,838,1081,953,759,687,505,271
VRC32,245,230,297,367,328,317,284,334,403,399,456,423,549,472,417,340,235,127
VRC35,154,177,192,261,203,210,184,249,292,285,322,343,450,384,428,407,266,194
VTR04,3586,3134,3084,4971,9429,6308,6269,6319,5792,5856,6222,6468,6630,4923,3537,3094,1959,1089
VTR06,1897,1865,1952,2232,2457,2721,3247,3388,3235,3184,3572,3796,3933,3088,2297,1938,1228,655
VTR13,381,462,427,530,488,476,556,595,620,669,678,711,750,618,567,462,287,157
VTR14,164,207,183,214,221,224,209,217,253,258,242,302,309,310,241,218,129,90
VTR20,499,504,542,594,700,706,836,924,946,895,960,1065,1241,985,766,613,377,244
VTR22,876,987,1024,1076,1152,1089,1286,1390,1387,1504,1712,1860,2031,1823,1519,1542,1016,595
VTR26,587,625,678,687,708,608,768,799,789,794,872,1055,1267,1346,1003,986,540,339
VTR28,1277,1331,1362,2850,7355,2331,2292,2406,2170,2396,2729,3036,3037,2430,2060,1986,1098,588
VTR31,635,801,735,760,732,691,787,783,761,737,800,895,994,802,641,586,350,231
VTR32,95,109,131,122,108,91,129,136,143,152,155,189,223,184,166,169,135,105
