type	geo
hydro	42.01818,23.66592
solar	42.55687,26.77968
wind	42.82260,27.43492
hydro	42.59782,24.01062
wind	43.42499,28.34610
hydro	41.66239,24.37694
hydro	43.27070,24.27120
hydro	41.44324,23.43383
hydro	42.06930,23.14991
hydro	43.35214,24.13764
hydro	42.26308,23.16535
hydro	43.16612,24.06967
solar	42.55826,26.78398
solar	42.09567,26.53541
solar	42.09694,26.53404
solar	42.63092,26.54022
solar	42.55725,26.78140
solar	42.55712,26.78604
solar	43.61370,26.02455
solar	42.39126,25.99777
solar	42.10245,27.56203
solar	42.25564,26.78456
solar	41.55894,23.31101
solar	41.55727,23.31092
solar	42.29984,24.23043
wind	43.48705,28.34610
wind	43.10499,26.40838
solar	41.99598,27.51680
solar	43.23738,27.55723
solar	42.3378806,24.2909539
solar	42.3378806,24.2909539
solar	42.56800,26.52391
hydro	43.38581,22.8642
hydro	43.39846,22.83744
hydro	41.50158,23.50297
hydro	41.54327,23.56086
hydro	43.39407,23.21136
solar	42.62650,26.04043
hydro	42.28683,23.28037
hydro	42.53727,23.50507
hydro	42.57646,23.41392
solar	42.33786,24.28957
solar	42.5982431,24.7659204
solar	42.44572,23.80677
wind	42.59024,26.68991
solar	42.63597,26.53575
solar	42.6905745,26.404364
wind	42.61949,27.29793
wind	42.65340,26.63025
solar	41.46414,23.35899
hydro	41.88234,23.46405
hydro	43.33092,22.91301
hydro	42.8742212,25.3186837
solar	41.62660,23.09875
solar	41.62615,23.09892
solar	41.62676,23.09763
hydro	41.84123,24.38896
solar	42.64279,27.19459
wind	42.67650,27.19957
solar	42.69959,27.25845
solar	42.67751,27.20077
wind	42.75778,27.22772
hydro	41.61569,24.49401
solar	42.34661,24.93364
wind	43.68376,24.77283
wind	43.68848,24.77794
hydro	43.17676,26.87187
hydro	42.07885,24.59426
hydro	42.07987,24.58602
solar	42.42877,26.35860
hydro	41.84398,23.10287
hydro	41.84139,23.10004
hydro	42.19469,22.67882
hydro	42.41628,22.57555
solar	41.72110,24.68833
solar	42.67132,26.32186
solar	41.94780,25.39936
solar	43.41895,28.26447
wind	41.99598,26.57318
wind	41.99343,26.57283
wind	42.7573786,27.226541
wind	41.99700,26.57112
solar	42.65113,26.42795
wind	42.73579,27.12129
solar	41.63667,25.36099
solar	42.05298,26.81934
solar	41.91620,25.78508
wind	42.64810,26.98585
wind	42.65971,26.95426
wind	43.48804,28.34489
hydro	41.55124,23.74626
hydro	43.48132,22.74101
hydro	41.67291,23.66128
hydro	43.13662,23.75672
solar	42.54539,25.57200
solar	42.24049,22.93990
hydro	42.53954,23.12553
wind	43.53280,28.45398
wind	43.49511,28.58425
solar	42.22165,26.61592
solar	42.12101,24.20348
solar	42.47159,26.91444
solar	42.62345,24.65628
solar	42.84211,26.56022
solar	42.75775,27.22815
solar	41.76407,23.68575
solar	42.10650,25.58741
wind	43.48680,28.47021
hydro	41.53119,24.90978
hydro	41.74458,23.64021
hydro	41.74217,23.63532
hydro	41.74265,23.63570
hydro	43.28695,23.35847
solar	41.48927,23.36407
hydro	41.67887,23.66073
hydro	41.71184,23.71139
hydro	42.88920,26.96049
solar	41.84494,26.19762
hydro	41.91664,23.19488
hydro	41.73928,23.23359
solar	43.14790,25.60835
solar	41.89194,25.84578
solar	41.88745,25.84980
wind	43.49147,28.34816
solar	42.75715,27.22678
solar	42.75797,27.22570
solar	42.33884,27.26330
hydro	41.54785,23.46819
hydro	43.00088,26.67343
hydro	43.00088,26.67343
hydro	43.00088,26.67343
hydro	41.54757,23.46808
wind	43.42319,28.34395
wind	43.53000,28.45596
wind	42.67391,25.40075
solar	42.22076,26.61807
solar	42.14202,26.64236
hydro	42.81832,25.27233
solar	42.40584,26.41915
solar	42.43346,25.64277
wind	43.27365,27.96950
wind	43.48403,28.22743
solar	42.41424,26.05850
solar	42.56889,26.39164
solar	42.42092,25.62131
solar	42.67082,22.77259
solar	43.54994,22.87160
solar	43.55131,22.87572
solar	42.55788,26.78140
solar	42.49210,22.89256
hydro	42.83676,24.76818
solar	42.24786,26.70587
hydro	43.08731,23.38225
hydro	43.08731,23.38225
solar	41.88403,23.47679
solar	41.42911,24.74782
solar	41.72815,24.68557
solar	42.07576,26.65665
solar	42.22387,26.61489
solar	43.72663,27.92475
wind	42.54493,26.70150
solar	42.50602,24.71327
wind	42.73178,26.17853
solar	43.47674,28.09225
solar	42.21655,24.78421
solar	42.21443,24.78271
solar	42.21648,24.78097
solar	42.35970,24.10831
hydro	42.35245,24.12056
solar	42.25895,23.11574
hydro	41.71447,23.16033
solar	41.52135,26.12505
wind	43.56109,28.24520
wind	43.55955,28.23997
wind	43.55874,28.24275
wind	43.56081,28.24859
hydro	42.69013,24.44646
wind	42.67845,27.25433
hydro	41.65832,24.82968
wind	43.21280,26.57129
wind	43.39332,28.43853
hydro	42.68437,25.97719
solar	43.05609,27.80914
solar	43.64955,27.56255
solar	43.83601,25.95794
hydro	42.65772,24.13788
wind	42.59365,26.19537
wind	42.62170,27.29836
hydro	41.43757,23.50668
hydro	41.38571,25.06071
hydro	41.54533,23.56065
solar	42.12560,25.04389
solar	41.45213,23.28826
hydro	41.44365,23.43812
hydro	41.43876,23.48947
hydro	41.74075,23.22985
hydro	41.91500,23.45561
solar	41.63533,25.38228
solar	42.43837,27.34692
solar	42.44269,27.33687
wind	42.54125,26.69385
solar	42.10931,25.77296
solar	42.10734,25.77405
hydro	42.83481,24.90308
hydro	42.25145,22.55321
hydro	43.32361,24.24665
solar	42.44135,27.34029
hydro	41.71184,23.71139
solar	42.37946,26.74273
wind	42.72671,26.18700
solar	42.68196,25.97781
solar	42.60408,25.68333
solar	42.61564,25.38906
hydro	43.47528,22.74015
hydro	43.59147,22.77714
hydro	43.47777,22.74084
hydro	43.47708,22.74092
hydro	43.10153,23.90629
solar	42.47697,26.36418
hydro	41.63112,24.35497
hydro	43.02970,25.42804
hydro	41.60748,24.75875
hydro	43.27098,22.95674
solar	42.59684,26.70257
wind	43.60954,28.43630
solar	42.35603,25.82812
hydro	41.86923,24.68305
solar	42.30879,24.63070
solar	42.46798,26.81706
hydro	42.92707,25.07135
solar	42.4936347,26.0085439
hydro	42.12350,23.21059
wind	43.41338,28.37862
wind	43.48733,28.46643
wind	43.48593,28.46956
wind	43.51964,28.44841
solar	41.71405,24.69022
hydro	41.53579,23.28494
hydro	41.53620,23.28234
hydro	41.74470,23.11626
hydro	41.94174,23.56670
wind	41.78952,23.18276
solar	42.60591,25.39395
wind	43.41807,28.36172
wind	43.42225,28.31897
wind	43.42237,28.30713
solar	42.42817,27.26828
hydro	41.67134,23.65686
solar	42.63714,26.53434
wind	42.60825,26.68875
wind	43.48605,25.81499
wind	43.46961,28.35609
wind	43.47079,28.35571
wind	43.51413,28.32979
wind	43.45344,28.36532
wind	43.45294,28.34532
wind	43.46625,28.34232
wind	43.45304,28.34507
wind	43.46195,28.32721
wind	43.46009,28.31895
solar	42.24118,26.70352
solar	42.24434,26.70048
solar	42.15191,26.30706
hydro	41.36714,23.13115
hydro	42.03520,24.29248
wind	43.42689,28.04494
wind	43.42661,28.03998
wind	43.42537,28.04157
wind	43.53109,28.19435
solar	42.70000,27.70644
hydro	41.75793,23.67176
wind	42.68793,27.37001
solar	42.57070,26.98752
solar	43.40900,27.54907
solar	42.00804,26.08566
solar	42.00568,23.10235
solar	42.13874,25.23297
hydro	42.92356,24.24862
solar	42.67451,22.77581
solar	42.71719,23.36749
hydro	43.13844,23.74445
solar	42.4281181,26.2587273
wind	42.65626,26.42523
solar	42.65021,26.43093
wind	42.65640,26.42842
solar	43.16499,24.71817
hydro	41.36693,22.97882
hydro	42.06853,23.14806
hydro	41.95550,23.55687
solar	42.41837,25.79823
hydro	42.96791,25.04865
hydro	41.78977,23.22441
solar	42.70583,27.24274
solar	42.16712,24.33759
solar	42.87678,25.32073
solar	42.75036,27.62576
wind	42.80906,27.19880
wind	42.68664,27.37738
wind	42.62431,27.41114
wind	42.55810,27.14515
hydro	42.70028,24.25446
hydro	41.98699,23.96435
solar	42.36880,25.51551
wind	42.74214,27.34140
solar	41.38154,25.08968
solar	42.63376,24.65443
solar	42.33396,24.82764
wind	42.7309624,26.1911906
wind	42.7309624,26.1911906
solar	41.92670,26.15694
solar	41.91546,26.15960
solar	41.92715,26.15999
solar	41.89528,25.32803
solar	43.03803,25.89619
solar	42.63702,27.24096
solar	41.99200,25.79366
wind	42.7309624,26.1911906
wind	43.57498,28.45649
wind	43.52714,28.52432
solar	43.9575807,22.5325125
solar	42.22584,26.60532
solar	42.40599,24.82961
solar	42.32814,27.62119
wind	42.65403,26.41834
solar	42.36184,26.36793
solar	42.36184,26.36793
hydro	41.63579,24.33742
solar	43.65109,22.78588
hydro	42.65772,24.13788
solar	42.23344,24.74710
hydro	42.87292,24.07600
hydro	43.47495,22.74049
solar	41.56307,23.29917
solar	41.55864,23.31743
solar	42.59133,26.28130
hydro	43.11786,24.72335
hydro	43.25371,24.18331
hydro	43.38062,22.90758
hydro	43.19694,25.26512
hydro	42.90709,25.08045
hydro	42.90122,25.08176
wind	43.44279,28.00706
hydro	42.51247,25.90610
hydro	42.05368,23.17428
hydro	42.04572,23.15883
hydro	42.66732,25.41742
hydro	41.83193,23.23076
solar	42.23649,24.19000
solar	42.23700,24.18938
solar	42.23576,24.19090
solar	42.61354,24.90066
solar	43.37941,24.66653
solar	42.35606,24.11739
solar	41.96316,23.81653
solar	42.84057,24.92321
solar	42.70047,27.24060
solar	42.56066,26.77758
solar	42.55687,26.78174
solar	42.60487,26.43035
solar	42.60237,26.42366
solar	42.16152,24.12910
solar	42.55877,26.78973
solar	43.71548,26.75424
solar	41.45999,25.23233
solar	43.29813,25.59698
wind	42.822406,27.4312973
solar	42.34736,26.53108
hydro	41.56915,24.79625
solar	43.54170,24.58040
wind	43.55098,28.53331
solar	42.63321,24.80090
solar	43.37527,26.60720
solar	42.43356,25.64766
solar	42.68180,26.29933
solar	42.57273,26.22589
solar	42.68068,25.97176
hydro	41.67815,24.58244
hydro	42.93906,25.32134
solar	43.83263,25.97258
solar	41.65025,25.64736
solar	41.65123,25.64234
solar	43.52725,28.01754
solar	42.48073,26.01099
solar	41.71022,25.83733
solar	43.05197,24.34890
wind	42.67284,25.40013
hydro	42.91985,24.70619
solar	42.37086,25.70951
solar	42.62729,25.06897
solar	42.57905,25.45036
solar	42.5774448,25.4474855
solar	42.43945,25.95009
solar	42.28937,25.81499
solar	42.62942,24.65480
solar	44.0000599,26.463407
hydro	41.51648,23.25874
hydro	42.11754,24.20185
solar	42.26722,26.92191
solar	42.27708,27.15753
solar	42.72233,26.74891
solar	42.09217,25.24608
hydro	43.07860,23.56563
hydro	42.05123,23.16759
hydro	42.04594,23.15952
wind	43.66948,24.11516
wind	43.6728327,23.9910856
solar	42.09325,23.10313
solar	43.8178375,23.2383326
solar	43.80780,23.24247
solar	41.64525,23.22820
hydro	43.39369,23.21445
solar	41.55081,23.34089
solar	41.55181,23.34310
solar	42.64848,23.27714
hydro	41.97222,23.08898
solar	42.23474,24.82563
solar	42.23650,24.82603
solar	43.31443,25.44888
solar	42.49016,22.89033
solar	41.66813,25.95208
solar	43.72615,23.12795
solar	41.63417,23.20059
solar	42.13043,24.97135
solar	42.22298,24.62589
solar	42.66415,27.69234
hydro	41.88135,23.44851
solar	42.1427067,26.6418387
solar	42.14113,26.64148
solar	42.17453,26.66489
solar	42.1739896,26.6668702
solar	42.13853,26.63860
solar	42.17447,26.66483
solar	42.38134,26.74168
solar	42.14514,26.64633
solar	42.17328,26.66785
solar	42.16906,26.65586
solar	42.14531,26.64584
solar	42.58305,27.60113
solar	42.5980683,26.7324571
solar	42.69473,27.24852
solar	42.41163,25.62269
solar	42.40939,25.61640
gas_waste	42.69862,23.21655
solar	42.16171,24.12910
solar	42.20466,24.12246
solar	42.44197,26.53156
hydro	42.11167,23.03483
solar	42.44711,24.77228
hydro	41.97646,23.08231
solar	41.53840,23.27315
solar	42.60674,23.47104
wind	41.79190,23.17883
solar	43.67854,22.83795
solar	41.43435,23.68165
solar	42.57615,27.60642
solar	43.2005208,25.5560506
solar	42.6816536,26.3228685
solar	42.61455,26.26764
solar	42.55867,26.05141
hydro	42.28432,23.13132
solar	42.07932,26.65577
solar	44.08280,27.24285
solar	44.02281,27.02371
solar	44.02253,27.01559
solar	44.10408,27.20750
solar	44.09991,27.15541
solar	44.09948,27.15142
solar	42.62615,25.15921
hydro	43.37181,24.33014
solar	42.3378806,24.2909539
solar	42.34124,24.30116
solar	42.33759,24.28961
solar	42.33827,24.28890
solar	42.43778,25.66403
wind	42.73216,26.18005
solar	43.65782,22.73311
solar	42.61343,23.35926
solar	42.57913,27.30023
solar	42.14471,23.08489
solar	41.85925,23.14325
hydro	42.46650,24.81262
hydro	42.99869,23.35624
solar	42.62254,25.16354
solar	43.31276,25.04440
solar	43.30701,25.04331
solar	43.31203,25.04380
solar	43.31109,25.04322
solar	42.67588,22.77643
solar	43.09321,24.14827
solar	43.45207,23.18666
solar	43.70138,22.87280
solar	43.65070,22.91306
solar	43.61394,22.91630
solar	43.51883,23.70059
solar	42.89255,22.88308
biomass	42.13619,24.52028
solar	41.6222862,22.9738133
solar	43.18469,23.58333
solar	43.90099,22.54045
solar	43.90036,22.53501
wind	42.0675507,26.1068404
solar	42.34019,27.17980
solar	42.63151,27.48647
solar	42.45084,25.70675
solar	42.45159,25.69968
solar	42.26470,24.55454
hydro	42.97815,24.19253
solar	42.97030,25.57038
hydro	42.97672,25.31928
solar	42.54754,26.69903
solar	42.55187,27.15270
solar	42.09658,25.61966
solar	42.18664,25.32939
solar	42.31908,24.88656
solar	42.20740,25.05411
solar	42.5844646,27.2383088
solar	42.80631,23.20331
solar	42.8420163,26.5592412
wind	42.64269,27.18767
solar	43.19561,23.55846
solar	43.22047,23.52566
solar	43.22126,23.53391
solar	43.19541,23.55855
solar	43.21252,23.55996
solar	43.21252,23.55996
solar	43.21218,23.56061
solar	43.21218,23.56061
solar	43.21287,23.56095
solar	43.21287,23.56095
solar	43.21343,23.55988
solar	43.21343,23.55988
solar	43.21696,23.56088
solar	43.21696,23.56088
solar	42.41994,25.65314
solar	42.41395,25.65367
solar	41.72549,26.28135
solar	43.31141,25.45632
solar	42.44098,26.53263
solar	42.38845,26.50247
solar	42.33025,26.31667
solar	42.30641,26.62071
wind	42.66362,26.29581
solar	43.43442,23.94798
hydro_waste	43.10395,25.72518
hydro_waste	42.92760,25.77326
solar	43.42100,23.95178
solar	43.42061,23.95169
solar	43.42082,23.94859
solar	42.31551,27.01140
solar	42.44328,27.31814
solar	43.90248,26.34998
solar	42.14969,26.30386
solar	41.96652,26.13857
solar	41.96223,26.14076
solar	41.40549,23.19347
solar	42.26050,26.98094
solar	42.25807,26.98020
solar	42.19466,24.34793
wind	43.54873,28.55288
solar	42.68840,23.26440
solar	42.32999,27.62360
hydro	42.59212,25.95361
solar	43.96659,22.53615
solar	42.12305,25.04667
hydro	41.67077,23.73615
hydro	42.01590,23.65751
solar	42.10257,24.87936
solar	41.40553,23.19345
solar	41.50382,23.28836
solar	43.66139,22.74905
solar	43.66206,22.74453
solar	42.31024,25.77519
solar	42.03013,25.91391
solar	43.53566,25.18037
solar	42.39051,25.72876
solar	43.90432,26.35038
solar	41.86390,24.65400
solar	43.32767,25.09582
hydro_waste	42.7730953,23.3629802
solar	43.43441,24.90759
solar	43.25928,26.56799
solar	42.55157,27.15250
solar	42.54868,27.15255
solar	42.60612,24.76594
solar	42.60651,24.76442
solar	42.60605,24.76581
solar	41.86414,26.13179
solar	42.16948,24.72225
solar	42.3477629,24.8929192
solar	42.2829523,25.6659932
solar	43.01396,23.04154
solar	42.21224,25.79589
solar	42.24551,25.68107
solar	42.25428,25.74551
solar	42.68355,26.30704
solar	42.56534,26.37868
solar	42.83814,24.89939
solar	42.9127516,23.8707423
solar	43.40208,24.45112
solar	41.56041,23.30942
hydro	41.59708,24.37518
solar	43.68318,22.59362
hydro	41.56455,24.09718
solar	41.89703,26.10579
solar	42.64660,26.22904
solar	42.16980,24.74572
solar	42.63064,25.78610
solar	42.57956,27.30033
solar	42.57985,27.29982
solar	42.58007,27.30016
solar	42.76498,27.05321
solar	43.65644,22.74916
solar	43.65551,22.74633
solar	42.44584,24.66447
solar	42.44550,24.66546
solar	42.44451,24.66424
solar	42.44521,24.66309
solar	43.85551,22.58415
solar	42.17697,24.75533
solar	42.38825,27.66773
solar	42.63155,25.23855
solar	42.63173,25.23804
solar	42.22925,24.29347
solar	42.62161,22.74193
solar	42.67407,22.77684
solar	43.65515,22.73187
solar	42.61824,22.74652
solar	42.61916,22.74590
solar	42.66743,22.77367
solar	42.4779376,22.7471341
solar	43.65467,22.74418
solar	43.65750,22.74976
solar	41.7382583,26.0881214
solar	41.73880,26.08463
solar	42.60054,25.54511
solar	42.84408,26.56223
solar	41.60957,23.78707
solar	42.56496,23.09339
solar	42.56510,23.09331
solar	42.56129,23.09613
solar	42.21227,25.79471
solar	42.21222,25.79579
solar	42.52496,22.56124
solar	42.52419,22.56177
solar	41.94582,25.39837
solar	41.94573,25.39863
solar	42.80664,23.06356
solar	42.48456,26.52606
solar	42.48159,26.52794
solar	42.17989,24.61909
solar	42.70779,27.24497
solar	43.86460,26.00541
solar	42.70855,26.90740
solar	42.72206,22.85042
solar	43.69676,23.81908
solar	43.15864,27.26180
solar	42.60517,25.53745
solar	42.19666,25.32151
solar	42.58220,27.29954
solar	42.62672,27.57023
solar	42.62625,27.57038
solar	42.62549,27.56873
solar	42.62271,27.57252
solar	42.62297,27.57267
solar	42.34011,25.05013
solar	43.31671,25.04636
solar	43.31968,25.05140
solar	43.31818,25.04608
solar	43.31977,25.05178
solar	42.52525,26.53644
solar	42.03444,25.82482
solar	42.61381,25.41000
hydro	43.26204,22.95567
solar	42.58007,27.60327
solar	41.99882,25.79332
solar	43.96119,22.61934
solar	42.84057,24.92321
solar	42.23634,24.72827
solar	42.64687,27.11460
solar	42.54059,25.98790
solar	42.02239,25.42822
solar	43.55576,27.61924
solar	42.49763,27.46839
solar	41.89520,26.53333
solar	42.6816536,26.3228685
solar	41.91266,26.51936
solar	42.70801,27.24484
solar	41.89499,26.53631
solar	41.95936,26.14087
solar	41.95926,26.14003
solar	41.44496,24.80127
solar	42.18894,27.18534
solar	41.50532,24.93950
solar	41.50734,24.99471
solar	42.41173,25.63676
solar	42.14316,24.80584
solar	41.98471,25.17010
solar	42.61616,26.27030
solar	42.41921,25.59900
hydro	42.58468,23.42860
solar	41.59644,23.80080
solar	42.69719,26.40790
solar	42.59975,26.72557
solar	42.59640,26.74201
solar	42.59868,26.72218
wind	42.70804,25.89992
solar	42.74508,27.34930
solar	42.67951,27.20373
solar	43.538101,25.0044102
solar	42.33916,25.90925
solar	41.46557,23.79715
solar	43.62843,23.16973
solar	43.62930,23.16887
solar	41.53090,24.91484
solar	41.53169,24.91648
solar	41.53143,24.91678
solar	42.66326,23.58822
solar	42.62922,25.15766
solar	42.05947,25.90468
solar	42.69248,24.45408
solar	42.31290,25.58443
solar	42.25240,24.43011
solar	42.52579,26.53635
solar	41.54520,25.07393
solar	42.54783,24.87733
solar	42.34947,26.52254
solar	42.66350,26.29517
solar	42.65744,26.31526
solar	42.17954,24.34578
solar	41.68116,25.76720
hydro	43.39307,23.21445
hydro	43.63576,23.04270
solar	42.22406,26.60322
solar	42.22095,26.60468
solar	44.02118,22.57231
solar	42.09847,24.49710
solar	42.09828,24.49633
solar	42.34668,25.06444
solar	42.69675,26.33079
solar	42.39832,27.28381
solar	42.68155,26.34006
solar	42.49247,26.48361
wind	42.75644,27.22894
solar	42.26147,25.23441
solar	42.60234,25.54557
solar	42.0455703,26.566273
solar	41.62846,25.38150
solar	42.04999,26.56595
solar	42.2228267,26.6125831
solar	42.14304,26.63901
solar	42.04734,26.56170
wind	42.43815,26.59790
solar	42.15083,26.81243
solar	41.94185,25.35309
solar	42.52179,22.98000
solar	42.14832,25.21083
solar	42.49219,26.02845
solar	43.79710,27.87707
wind	43.68495,24.78292
solar	42.01169,25.59853
solar	42.01174,25.59750
solar	41.77510,26.21668
solar	42.57136,25.54872
solar	42.6863311,25.3158237
solar	42.58256,25.44789
solar	42.56800,26.52391
solar	42.69637,27.23781
solar	41.89572,23.49477
solar	42.22376,26.61566
solar	42.09627,25.61998
solar	42.34216,25.90616
solar	42.21010,25.31433
solar	41.91221,25.56823
solar	41.86299,25.63099
solar	42.39789,23.37827
solar	42.14254,24.54479
solar	43.76949,22.67803
solar	41.83936,26.07403
solar	42.1650494,25.7186499
solar	42.35135,24.62922
solar	42.69387,27.25318
solar	41.78883,25.73123
solar	42.34646,24.62894
hydro	43.17407,24.74970
solar	42.60455,25.98430
solar	41.64158,23.20537
solar	42.33516,25.14817
solar	42.49601,26.52393
solar	42.03474,23.99520
solar	42.79629,27.52075
hydro	42.84339,24.90329
solar	43.06673,24.08263
solar	42.33588,25.14709
solar	42.82220,27.43434
solar	42.42955,26.24998
solar	41.73683,24.40314
solar	41.88189,23.44913
solar	42.34772,25.18418
solar	42.17552,26.66738
solar	42.10971,25.77208
solar	42.41008,25.63464
solar	42.54274,25.58790
solar	42.31006,25.58769
solar	42.36935,24.70908
solar	42.08898,25.29580
solar	41.53080,24.90822
solar	41.96394,25.35152
solar	42.40953,27.00551
solar	42.40947,27.00563
solar	43.24361,27.78118
solar	41.92292,25.92863
solar	43.41597,23.00434
solar	43.16514,24.16505
solar	42.69409,25.88730
solar	42.69447,25.88717
solar	42.69452,25.88737
solar	43.20803,24.17444
hydro	43.13819,24.15269
solar	42.78219,23.10623
solar	44.09864,22.63649
hydro	43.20598,25.34365
solar	42.34817,25.00164
solar	43.16433,24.18378
solar	42.59561,27.19924
solar	43.89554,22.51752
solar	41.88690,23.45208
solar	43.54577,27.81022
solar	43.6165639,27.091526
solar	43.62014,27.10970
solar	42.34850,27.16968
solar	42.11046,25.77288
solar	41.64348,25.36305
solar	41.9634628,25.3463669
solar	42.48567,26.03296
solar	42.26113,23.81816
solar	42.26117,23.81828
solar	42.33651,24.80759
solar	41.86284,26.13497
solar	42.3378806,24.2909539
solar	42.56753,26.39428
solar	42.24298,26.95785
solar	41.83372,26.10006
solar	42.59921,26.73716
solar	42.5274068,26.7408204
solar	42.6205709,26.0354302
solar	42.38991,26.49944
solar	42.47509,26.53338
solar	42.46563,26.53073
solar	42.47567,26.40450
solar	42.47830,26.63043
solar	43.64032,24.74254
solar	41.77840,25.63806
solar	41.7844398,25.6778149
wind	43.39718,28.41604
solar	42.54893,23.12364
solar	42.55859,26.79020
solar	42.39770,24.91389
solar	42.70817,27.24454
solar	42.59331,26.69789
solar	42.68480,26.29976
solar	41.99526,25.79139
solar	41.44571,23.24224
solar	41.44548,23.24231
solar	41.44595,23.24378
solar	41.87223,24.68311
solar	42.39463,27.24878
solar	41.834361,25.3293876
solar	42.64884,26.99297
solar	42.54014,25.57801
solar	42.60408,25.54782
solar	42.68953,26.33650
solar	43.55713,27.05027
solar	43.55713,27.05027
solar	43.55713,27.05027
solar	42.23361,24.81718
solar	43.55596,27.05100
hydro	42.87656,24.19228
wind	42.79958,26.30418
wind	42.81112,26.36411
solar	42.17916,24.34473
solar	43.55929,27.05072
solar	43.55935,27.05091
solar	41.52474,23.79355
solar	42.43504,25.63556
